WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((646229 6819745,646229 6826365,652849 6826365,652849 6819745,646229 6819745)))",91,94_style1,646229.000000000000000,6819745.000000000000000,652849.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((791869 6892565,791869 6899185,798489 6899185,798489 6892565,791869 6892565)))",564,94_style1,791869.000000000000000,6892565.000000000931323,798489.000000000000000,6899185.000000000000000
"MULTIPOLYGON (((632989 6806505,632989 6813125,639609 6813125,639609 6806505,632989 6806505)))",47,94_style1,632989.000000000000000,6806505.000000000000000,639609.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((652849 6846225,652849 6852845,659469 6852845,659469 6846225,652849 6846225)))",116,94_style1,652849.000000000000000,6846225.000000000000000,659469.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((692569 6813125,692569 6819745,699189 6819745,699189 6813125,692569 6813125)))",237,94_style1,692569.000000000000000,6813125.000000000000000,699189.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((818349 6879325,818349 6885945,824969 6885945,824969 6879325,818349 6879325)))",646,94_style1,818349.000000000000000,6879325.000000000000000,824969.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((765389 6905805,765389 6912425,772009 6912425,772009 6905805,765389 6905805)))",482,94_style1,765389.000000000000000,6905805.000000000000000,772009.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((685949 6799885,685949 6806505,692569 6806505,692569 6799885,685949 6799885)))",214,94_style1,685949.000000000000000,6799885.000000000000000,692569.000000000000000,6806505.000000000000000
"MULTIPOLYGON (((725669 6832985,725669 6839605,732289 6839605,732289 6832985,725669 6832985)))",345,94_style1,725669.000000000000000,6832985.000000000000000,732289.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((732289 6852845,732289 6859465,738909 6859465,738909 6852845,732289 6852845)))",369,94_style1,732289.000000000000000,6852845.000000000000000,738909.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((719049 6859465,719049 6866085,725669 6866085,725669 6859465,719049 6859465)))",328,94_style1,719049.000000000000000,6859465.000000000000000,725669.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((679329 6832985,679329 6839605,685949 6839605,685949 6832985,679329 6832985)))",198,94_style1,679329.000000000000000,6832985.000000000000000,685949.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((811729 6832985,811729 6839605,818349 6839605,818349 6832985,811729 6832985)))",618,94_style1,811729.000000000000000,6832985.000000000000000,818349.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((798489 6879325,798489 6885945,805109 6885945,805109 6879325,798489 6879325)))",583,94_style1,798489.000000000000000,6879325.000000000000000,805109.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((672709 6826365,672709 6832985,679329 6832985,679329 6826365,672709 6826365)))",176,94_style1,672709.000000000000000,6826365.000000000000000,679329.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((824969 6885945,824969 6892565,831589 6892565,831589 6885945,824969 6885945)))",668,94_style1,824969.000000000000000,6885945.000000000000000,831589.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((685949 6793265,685949 6799885,692569 6799885,692569 6793265,685949 6793265)))",213,94_style1,685949.000000000000000,6793265.000000000000000,692569.000000000000000,6799885.000000000000000
"MULTIPOLYGON (((758769 6852845,758769 6859465,765389 6859465,765389 6852845,758769 6852845)))",453,94_style1,758769.000000000000000,6852845.000000000000000,765389.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((646229 6852845,646229 6859465,652849 6859465,652849 6852845,646229 6852845)))",96,94_style1,646229.000000000000000,6852845.000000000000000,652849.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((672709 6852845,672709 6859465,679329 6859465,679329 6852845,672709 6852845)))",180,94_style1,672709.000000000000000,6852845.000000000000000,679329.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((772009 6846225,772009 6852845,778629 6852845,778629 6846225,772009 6846225)))",494,94_style1,772009.000000000000000,6846225.000000000000000,778629.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((672709 6846225,672709 6852845,679329 6852845,679329 6846225,672709 6846225)))",179,94_style1,672709.000000000000000,6846225.000000000000000,679329.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((772009 6872705,772009 6879325,778629 6879325,778629 6872705,772009 6872705)))",498,94_style1,772009.000000000000000,6872705.000000000000000,778629.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((818349 6859465,818349 6866085,824969 6866085,824969 6859465,818349 6859465)))",643,94_style1,818349.000000000000000,6859465.000000000000000,824969.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((719049 6826365,719049 6832985,725669 6832985,725669 6826365,719049 6826365)))",323,94_style1,719049.000000000000000,6826365.000000000000000,725669.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((679329 6806505,679329 6813125,685949 6813125,685949 6806505,679329 6806505)))",194,94_style1,679329.000000000000000,6806505.000000000000000,685949.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((659469 6852845,659469 6859465,666089 6859465,666089 6852845,659469 6852845)))",138,94_style1,659469.000000000000000,6852845.000000000000000,666089.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((626369 6806505,626369 6813125,632989 6813125,632989 6806505,626369 6806505)))",26,94_style1,626369.000000000000000,6806505.000000000000000,632989.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((752149 6872705,752149 6879325,758769 6879325,758769 6872705,752149 6872705)))",435,94_style1,752149.000000000000000,6872705.000000000000000,758769.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((632989 6832985,632989 6839605,639609 6839605,639609 6832985,632989 6832985)))",51,94_style1,632989.000000000000000,6832985.000000000000000,639609.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((805109 6872705,805109 6879325,811729 6879325,811729 6872705,805109 6872705)))",603,94_style1,805109.000000000000000,6872705.000000000000000,811729.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((785249 6899185,785249 6905805,791869 6905805,791869 6899185,785249 6899185)))",544,94_style1,785249.000000000000000,6899185.000000000000000,791869.000000000000000,6905805.000000000000000
"MULTIPOLYGON (((772009 6879325,772009 6885945,778629 6885945,778629 6879325,772009 6879325)))",499,94_style1,772009.000000000000000,6879325.000000000000000,778629.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((791869 6872705,791869 6879325,798489 6879325,798489 6872705,791869 6872705)))",561,94_style1,791869.000000000000000,6872705.000000000000000,798489.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((752149 6905805,752149 6912425,758769 6912425,758769 6905805,752149 6905805)))",440,94_style1,752149.000000000000000,6905805.000000000000000,758769.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((818349 6885945,818349 6892565,824969 6892565,824969 6885945,818349 6885945)))",647,94_style1,818349.000000000000000,6885945.000000000000000,824969.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((705809 6866085,705809 6872705,712429 6872705,712429 6866085,705809 6866085)))",287,94_style1,705809.000000000000000,6866085.000000000000000,712429.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((719049 6813125,719049 6819745,725669 6819745,725669 6813125,719049 6813125)))",321,94_style1,719049.000000000000000,6813125.000000000000000,725669.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((652849 6826365,652849 6832985,659469 6832985,659469 6826365,652849 6826365)))",113,94_style1,652849.000000000000000,6826365.000000000000000,659469.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((752149 6846225,752149 6852845,758769 6852845,758769 6846225,752149 6846225)))",431,94_style1,752149.000000000000000,6846225.000000000000000,758769.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((659469 6826365,659469 6832985,666089 6832985,666089 6826365,659469 6826365)))",134,94_style1,659469.000000000000000,6826365.000000000000000,666089.000000000000000,6832985.000000000000000
"MULTIPOLYGON (((838209 6846225,838209 6852845,844829 6852845,844829 6846225,838209 6846225)))",704,94_style1,838209.000000000000000,6846225.000000000000000,844829.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((685949 6866085,685949 6872705,692569 6872705,692569 6866085,685949 6866085)))",224,94_style1,685949.000000000000000,6866085.000000000000000,692569.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((632989 6819745,632989 6826365,639609 6826365,639609 6819745,632989 6819745)))",49,94_style1,632989.000000000000000,6819745.000000000000000,639609.000000000000000,6826365.000000000000000
"MULTIPOLYGON (((838209 6885945,838209 6892565,844829 6892565,844829 6885945,838209 6885945)))",710,94_style1,838209.000000000000000,6885945.000000000000000,844829.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((646229 6813125,646229 6819745,652849 6819745,652849 6813125,646229 6813125)))",90,94_style1,646229.000000000000000,6813125.000000000000000,652849.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((666089 6832985,666089 6839605,672709 6839605,672709 6832985,666089 6832985)))",156,94_style1,666089.000000000000000,6832985.000000000000000,672709.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((765389 6879325,765389 6885945,772009 6885945,772009 6879325,765389 6879325)))",478,94_style1,765389.000000000000000,6879325.000000000000000,772009.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((745529 6832985,745529 6839605,752149 6839605,752149 6832985,745529 6832985)))",408,94_style1,745529.000000000000000,6832985.000000000000000,752149.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((699189 6813125,699189 6819745,705809 6819745,705809 6813125,699189 6813125)))",258,94_style1,699189.000000000000000,6813125.000000000000000,705809.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((772009 6866085,772009 6872705,778629 6872705,778629 6866085,772009 6866085)))",497,94_style1,772009.000000000000000,6866085.000000000000000,778629.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((712429 6866085,712429 6872705,719049 6872705,719049 6866085,712429 6866085)))",308,94_style1,712429.000000000000000,6866085.000000000000000,719049.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((652849 6852845,652849 6859465,659469 6859465,659469 6852845,652849 6852845)))",117,94_style1,652849.000000000000000,6852845.000000000000000,659469.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((699189 6832985,699189 6839605,705809 6839605,705809 6832985,699189 6832985)))",261,94_style1,699189.000000000000000,6832985.000000000000000,705809.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((692569 6879325,692569 6885945,699189 6885945,699189 6879325,692569 6879325)))",247,94_style1,692569.000000000000000,6879325.000000000000000,699189.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((758769 6859465,758769 6866085,765389 6866085,765389 6859465,758769 6859465)))",454,94_style1,758769.000000000000000,6859465.000000000000000,765389.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((692569 6832985,692569 6839605,699189 6839605,699189 6832985,692569 6832985)))",240,94_style1,692569.000000000000000,6832985.000000000000000,699189.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((646229 6806505,646229 6813125,652849 6813125,652849 6806505,646229 6806505)))",89,94_style1,646229.000000000000000,6806505.000000000000000,652849.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((685949 6806505,685949 6813125,692569 6813125,692569 6806505,685949 6806505)))",215,94_style1,685949.000000000000000,6806505.000000000000000,692569.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((652849 6839605,652849 6846225,659469 6846225,659469 6839605,652849 6839605)))",115,94_style1,652849.000000000000000,6839605.000000000931323,659469.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((758769 6839605,758769 6846225,765389 6846225,765389 6839605,758769 6839605)))",451,94_style1,758769.000000000000000,6839605.000000000931323,765389.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((745529 6839605,745529 6846225,752149 6846225,752149 6839605,745529 6839605)))",409,94_style1,745529.000000000000000,6839605.000000000931323,752149.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((699189 6872705,699189 6879325,705809 6879325,705809 6872705,699189 6872705)))",267,94_style1,699189.000000000000000,6872705.000000000000000,705809.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((685949 6859465,685949 6866085,692569 6866085,692569 6859465,685949 6859465)))",223,94_style1,685949.000000000000000,6859465.000000000000000,692569.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((818349 6872705,818349 6879325,824969 6879325,824969 6872705,818349 6872705)))",645,94_style1,818349.000000000000000,6872705.000000000000000,824969.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((818349 6852845,818349 6859465,824969 6859465,824969 6852845,818349 6852845)))",642,94_style1,818349.000000000000000,6852845.000000000000000,824969.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((626369 6813125,626369 6819745,632989 6819745,632989 6813125,626369 6813125)))",27,94_style1,626369.000000000000000,6813125.000000000000000,632989.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((659469 6859465,659469 6866085,666089 6866085,666089 6859465,659469 6859465)))",139,94_style1,659469.000000000000000,6859465.000000000000000,666089.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((659469 6846225,659469 6852845,666089 6852845,666089 6846225,659469 6846225)))",137,94_style1,659469.000000000000000,6846225.000000000000000,666089.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((805109 6846225,805109 6852845,811729 6852845,811729 6846225,805109 6846225)))",599,94_style1,805109.000000000000000,6846225.000000000000000,811729.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((798489 6885945,798489 6892565,805109 6892565,805109 6885945,798489 6885945)))",584,94_style1,798489.000000000000000,6885945.000000000000000,805109.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((772009 6899185,772009 6905805,778629 6905805,778629 6899185,772009 6899185)))",502,94_style1,772009.000000000000000,6899185.000000000000000,778629.000000000000000,6905805.000000000000000
"MULTIPOLYGON (((791869 6899185,791869 6905805,798489 6905805,798489 6899185,791869 6899185)))",565,94_style1,791869.000000000000000,6899185.000000000000000,798489.000000000000000,6905805.000000000000000
"MULTIPOLYGON (((805109 6892565,805109 6899185,811729 6899185,811729 6892565,805109 6892565)))",606,94_style1,805109.000000000000000,6892565.000000000931323,811729.000000000000000,6899185.000000000000000
"MULTIPOLYGON (((719049 6832985,719049 6839605,725669 6839605,725669 6832985,719049 6832985)))",324,94_style1,719049.000000000000000,6832985.000000000000000,725669.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((778629 6879325,778629 6885945,785249 6885945,785249 6879325,778629 6879325)))",520,94_style1,778629.000000000000000,6879325.000000000000000,785249.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((778629 6905805,778629 6912425,785249 6912425,785249 6905805,778629 6905805)))",524,94_style1,778629.000000000000000,6905805.000000000000000,785249.000000000000000,6912425.000000000000000
"MULTIPOLYGON (((811729 6885945,811729 6892565,818349 6892565,818349 6885945,811729 6885945)))",626,94_style1,811729.000000000000000,6885945.000000000000000,818349.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((765389 6912425,765389 6919045,772009 6919045,772009 6912425,765389 6912425)))",483,94_style1,765389.000000000000000,6912425.000000000000000,772009.000000000000000,6919045.000000000000000
